algo,seed,update,episode,train_reward,train_objective,train_feasible_rate,train_min_sinr_db,actor_loss,critic_loss,entropy,alpha_entropy,approx_kl,clip_fraction,grad_norm,update_time_sec
ppo,1,55,14080,-12687.639891965217,1258.9633944321633,0.0,-15.594149196548937,0.03488173894584179,51852730.5,0.7204116061329842,0.001,0.14184015803039074,0.56103515625,75701.5166015625,9.59586010593921
ppo,1,56,14336,-12552.90363012797,1251.8541116219233,0.0,-15.619289068756132,0.0479092332534492,50678154.5,0.7203618064522743,0.001,0.09566691517829895,0.54296875,74965.2841796875,9.609607383026741
ppo,1,57,14592,-12734.407836860779,1242.1274129541457,0.0,-15.203242672210603,0.031980265863239765,52266479.5,0.7203522846102715,0.001,0.13236527144908905,0.55712890625,75374.1875,9.598227754002437
ppo,1,58,14848,-12396.049367666543,1202.4914871687165,0.0,-14.740328401051356,0.03525348170660436,50374654.0,0.7204202711582184,0.001,0.12031184136867523,0.56689453125,73661.2578125,9.614661050960422
ppo,1,59,15104,-12805.35255174645,1243.606358723903,0.0,-15.44587075289742,0.035835384391248226,52991804.5,0.7205272987484932,0.001,0.13914376497268677,0.577392578125,75970.9296875,9.577561490004882
ppo,1,60,15360,-12987.654464637317,1284.7238795051621,0.0,-15.846551974041642,0.028688698075711727,54197969.5,0.7205760106444359,0.001,0.11482036113739014,0.546142578125,77249.49609375,9.730903189978562
ppo,1,61,15616,-12849.678706960816,1255.9142158270988,0.0,-15.602960703311886,0.03436644095927477,53760344.5,0.7206189408898354,0.001,0.131784126162529,0.568115234375,76406.5400390625,9.502645118976943
ppo,1,62,15872,-12560.861433284277,1244.3439380204227,0.0,-15.44712004484348,0.034464094787836075,51251142.0,0.7206405699253082,0.001,0.051014840602874756,0.37841796875,74891.337890625,9.437961594085209
ppo,1,63,16128,-13182.633004452156,1311.636491627106,0.0,-16.287457633155515,0.03536744695156813,56791458.5,0.7206549420952797,0.001,0.13536353781819344,0.56591796875,78946.34375,9.505385924945585
ppo,1,64,16384,-12811.298640544392,1239.2016257905784,0.0,-15.280577969466991,0.0405916937161237,52378159.0,0.720654159784317,0.001,0.11320116370916367,0.54638671875,75873.8837890625,9.459531589993276
ppo,1,65,16640,-12607.199523401872,1276.9383513925222,0.0,-15.815256681891762,0.033265449572354555,52341051.0,0.7206195592880249,0.001,0.11456504091620445,0.5693359375,75860.3935546875,9.513389403000474
ppo,1,66,16896,-12841.119272294494,1258.1623698872113,0.0,-15.426586763686048,0.032570766750723124,54017054.5,0.7206338867545128,0.001,0.13852858915925026,0.5771484375,76554.955078125,9.956998349050991
ppo,1,67,17152,-11916.80101985117,1167.5301777460654,0.0,-14.397345123009083,0.03206430410500616,46043720.5,0.7206855118274689,0.001,0.13605608977377415,0.578857421875,70632.7822265625,10.282311492948793
ppo,1,68,17408,-12759.343973154475,1264.5993658913987,0.0,-15.577236298734233,0.039727983821649104,52315922.5,0.7207151651382446,0.001,0.1519605778157711,0.576904296875,75959.599609375,9.641444494947791
ppo,1,69,17664,-12428.608176123407,1215.3692874076971,0.0,-15.175682211125352,0.02596396452281624,51100673.5,0.7207487970590591,0.001,0.14534429088234901,0.56298828125,73982.1650390625,9.606643141014501
ppo,1,70,17920,-12898.084147913436,1241.0329787880387,0.0,-15.392867129603205,0.03041354101151228,53272715.0,0.7207726985216141,0.001,0.1297362670302391,0.547119140625,76325.8505859375,9.666889152955264
ppo,1,71,18176,-12670.87465168476,1201.293838672201,0.0,-14.93590133378978,0.03778661967953667,51666717.0,0.7207724452018738,0.001,0.12767108716070652,0.552734375,74673.2109375,10.15288101695478
ppo,1,72,18432,-12347.68035770765,1162.3926708068432,0.0,-14.465465965661203,0.036310723749920726,48105152.0,0.7207905426621437,0.001,0.16397573798894882,0.58837890625,72321.6728515625,10.214915266958997
ppo,1,73,18688,-12652.071709074291,1252.8210570365284,0.0,-15.521695479443125,0.04742716858163476,52286098.5,0.7207940965890884,0.001,0.13522762060165405,0.566162109375,75451.322265625,9.656770913978107
ppo,1,74,18944,-12773.64209519721,1236.0469437811553,0.0,-15.008305116731133,0.034295719815418124,52278883.0,0.7207790017127991,0.001,0.16254076920449734,0.581787109375,75421.505859375,9.548744999920018
ppo,1,75,19200,-12402.291188220675,1228.0508543772203,0.0,-15.499170959385335,0.04547721042763442,50006185.5,0.7207864075899124,0.001,0.11885658465325832,0.568359375,74052.8115234375,10.437959632952698
ppo,1,76,19456,-12307.667668348595,1174.747373260297,0.0,-14.596009427392271,0.03520199842751026,47975574.0,0.7207702398300171,0.001,0.050022341310977936,0.37890625,72597.244140625,10.372349984012544
ppo,1,77,19712,-12292.573538745099,1185.9577981383754,0.0,-14.995611717587135,0.040049474220722914,47889267.0,0.720753088593483,0.001,0.06739664822816849,0.42138671875,72868.46484375,10.365176576888189
ppo,1,78,19968,-12412.493476658303,1202.0398224633786,0.0,-14.827668778344774,0.03371990146115422,49463356.0,0.7207538262009621,0.001,0.15555022098124027,0.58203125,73508.138671875,10.37546316999942
ppo,1,79,20224,-12053.596070612697,1153.3806095331852,0.0,-14.377955587460265,0.03877959423698485,46308730.5,0.7207727655768394,0.001,0.16705338284373283,0.5908203125,70999.95703125,10.444023581105284
ppo,1,80,20480,-12243.83959193918,1162.6678480042551,0.0,-14.457066895647209,0.04066072078421712,47841893.0,0.7207730412483215,0.001,0.056013111025094986,0.39990234375,72174.677734375,10.268395611899905
ppo,1,81,20736,-12682.827595488263,1192.415028833594,0.0,-14.909365528178546,0.02974120620638132,52076613.0,0.7207750231027603,0.001,0.06546355038881302,0.416015625,74516.95703125,9.597500256029889
ppo,1,82,20992,-12366.351098391722,1180.4534218525396,0.0,-14.560379241548883,0.04410084616392851,48839909.0,0.720804899930954,0.001,0.06649436056613922,0.4189453125,72937.451171875,9.55489969602786
ppo,1,83,21248,-12315.922496793406,1189.8947309301147,0.0,-14.970359177143418,0.04890696285292506,48798384.0,0.7208127975463867,0.001,0.056370384991168976,0.4111328125,72994.09375,9.72171809093561
ppo,1,84,21504,-12181.437815255536,1161.3756668375843,0.0,-14.574983419652849,0.02959705237299204,47652209.0,0.7208070456981659,0.001,0.06601011008024216,0.427734375,71801.560546875,9.623517165076919
ppo,1,85,21760,-12361.150484718655,1201.896870261418,0.0,-15.02466859203621,0.05055730324238539,48855384.0,0.7207971066236496,0.001,0.05441788583993912,0.416015625,73111.234375,9.586064946022816
ppo,1,86,22016,-12917.824569072596,1239.2209504880275,0.0,-15.431217613254363,0.03668146766722202,53995931.0,0.7207957059144974,0.001,0.0564667284488678,0.39892578125,76355.552734375,9.630046115024015
ppo,1,87,22272,-11911.495088141444,1145.3294672409916,0.0,-14.40165704266644,0.028351922053843737,45599776.0,0.7208017557859421,0.001,0.0618961900472641,0.40380859375,70118.63671875,9.5214639500482
ppo,1,88,22528,-12457.801587496328,1163.8642259259204,0.0,-14.424668121023952,0.046135888900607824,50105580.5,0.7208079025149345,0.001,0.1413678489625454,0.603759765625,72959.3466796875,9.524852217989974
ppo,1,89,22784,-11664.49713747195,1118.466660320554,0.0,-13.90070247730502,0.039671634789556265,44168789.0,0.7208230569958687,0.001,0.1402912139892578,0.569091796875,68741.224609375,9.578779679024592
ppo,1,90,23040,-11816.352579380788,1137.881769649317,0.0,-14.455293709617077,0.03812006302177906,45511857.0,0.7208203673362732,0.001,0.06508485227823257,0.3974609375,69651.90625,9.517704188940115
ppo,1,91,23296,-12033.38904736068,1144.0033907312854,0.0,-14.213062838973809,0.02457151561975479,46406561.0,0.7208348661661148,0.001,0.05568709224462509,0.39990234375,70832.76953125,9.698903203010559
ppo,1,92,23552,-12235.034306996014,1148.4229685959976,0.0,-14.48110933067169,0.032833036966621876,47551186.0,0.7208490371704102,0.001,0.05796729773283005,0.4052734375,71727.572265625,9.598146975971758
ppo,1,93,23808,-11750.756028951848,1125.9489424390608,0.0,-14.27335475534389,0.04643723648041487,44014214.5,0.7208688035607338,0.001,0.1511414796113968,0.572021484375,69200.96875,9.636175557039678
ppo,1,94,24064,-11717.037690657147,1105.0121758035682,0.0,-13.858256367682742,0.04787276452407241,42736816.0,0.7208846211433411,0.001,0.051534563302993774,0.3994140625,68769.140625,9.695899008074775
ppo,1,95,24320,-12174.036973380335,1157.9768238881875,0.0,-14.418467238016623,0.03773863147944212,47549781.0,0.720867395401001,0.001,0.06181929260492325,0.4248046875,71542.318359375,9.574752597953193
ppo,1,96,24576,-12135.707717578167,1156.4708563467134,0.0,-14.644292379123147,0.03843748290091753,46313053.0,0.7208499163389206,0.001,0.061822112649679184,0.42138671875,71256.708984375,9.54196573398076
ppo,1,97,24832,-11937.976631374435,1117.7954536035563,0.0,-13.982704119084524,0.03390010353177786,44268403.0,0.7208409160375595,0.001,0.06556591391563416,0.4091796875,69758.7890625,9.614759659045376
ppo,1,98,25088,-11900.24228305188,1123.126946330182,0.0,-14.049140890881537,0.04035714454948902,45456799.0,0.7208303660154343,0.001,0.06856166198849678,0.43310546875,69870.947265625,9.548895032028668
ppo,1,99,25344,-12301.222782741603,1158.5057035961745,0.0,-14.544712282449886,0.04134186916053295,47329579.0,0.7208221703767776,0.001,0.05915650725364685,0.41552734375,71927.505859375,9.679058179957792
ppo,1,100,25600,-12176.075860732359,1140.642642407433,0.0,-14.491433004470073,0.039332508808001876,47012296.0,0.7208171039819717,0.001,0.056867048144340515,0.419921875,71211.546875,9.631799336057156
heppo,1,1,256,-12852.64663512443,1288.0253668376417,0.0,-15.620571726037515,0.04788488568738103,3669889.25,0.7189535349607468,0.00098,0.2640218585729599,0.447265625,18943.42578125,14.38070439803414
heppo,1,2,512,-12816.761242083487,1284.4386624247682,0.0,-15.706419267676582,0.01607451681047678,3718895.4375,0.718995213508606,0.0009603999999999999,0.1532706841826439,0.2841796875,17353.309326171875,14.315873372019269
heppo,1,3,768,-12721.830353017574,1288.3594953320521,0.0,-15.92881850952266,0.019733570865355432,3618462.375,0.7190226763486862,0.0009411919999999999,0.13481640815734863,0.23974609375,17210.9169921875,14.499547175015323
heppo,1,4,1024,-13287.251125134655,1327.6392566140885,0.0,-16.331949513643224,0.015499335713684559,3955669.4375,0.7190472781658173,0.0009223681599999998,0.13829292356967926,0.2666015625,17433.534912109375,14.371389351901598
heppo,1,5,1280,-12693.366064278409,1257.2185154711415,0.0,-15.591652356604383,0.017470502760261297,3580718.6875,0.7190762758255005,0.0009039207967999998,0.1543172150850296,0.28662109375,14968.23046875,14.531469967914745
heppo,1,6,1536,-13090.510989454957,1301.864457428225,0.0,-15.999592323339819,0.028237615013495088,3774872.0,0.719091385602951,0.0008858423808639998,0.18222395330667496,0.32666015625,14884.562255859375,14.484607352991588
heppo,1,7,1792,-13135.180846824776,1312.5621862518392,0.0,-16.210085379631007,0.027173240669071674,3890354.125,0.7190826088190079,0.0008681255332467198,0.18520157411694527,0.3427734375,14987.33544921875,16.023269637022167
heppo,1,8,2048,-12447.226229284779,1242.2439698659064,0.0,-15.205535657756158,0.031088548013940454,3437906.5,0.7190717309713364,0.0008507630225817853,0.21816019713878632,0.390625,14486.616455078125,15.966019812040031
heppo,1,9,2304,-12977.612753286205,1314.7316797141816,0.0,-16.03375173740441,0.03086078679189086,3824011.625,0.719058483839035,0.0008337477621301496,0.2261006459593773,0.39208984375,15597.143310546875,15.981799706001766
heppo,1,10,2560,-12945.536909838806,1294.6762429999787,0.0,-16.007072009557973,0.033900083508342505,3763072.0625,0.7190616130828857,0.0008170728068875465,0.20679304376244545,0.37841796875,15995.096923828125,15.943199516972527
heppo,1,11,2816,-12691.418163353786,1263.6589046662034,0.0,-15.590287001868909,0.03259338531643152,3552140.8125,0.7190685868263245,0.0008007313507497956,0.20653033256530762,0.38671875,16024.80078125,14.70842913899105
heppo,1,12,3072,-12999.736415908825,1305.4402695632132,0.0,-16.249152365709886,0.03583693038672209,3773671.5,0.7190586477518082,0.0007847167237347997,0.23333919048309326,0.42529296875,16795.396484375,14.455005211057141
heppo,1,13,3328,-12920.463772603938,1305.1316633273314,0.0,-16.17355857041833,0.01870706072077155,20004380.5,0.7190481722354889,0.0008004110582094957,0.132744929442822,0.49658203125,42863.365234375,13.395387933007441
heppo,1,14,3584,-12619.546217832802,1281.4898524238379,0.0,-15.651111296623,0.008504391298629344,19017448.0,0.7190475165843964,0.0008164192793736856,0.13947466388344765,0.50537109375,42668.138671875,13.492688150028698
heppo,1,15,3840,-12875.294452813909,1265.578606919362,0.0,-15.660487682006774,0.03962951432913542,3614763.0,0.7190554887056351,0.0008000908937862119,0.229743804782629,0.42041015625,17203.93798828125,14.351369080948643
heppo,1,16,4096,-12665.333602364955,1271.672367308926,0.0,-15.570833809598755,0.038053328171372414,3600618.8125,0.7190591096878052,0.0007840890759104876,0.22986996918916702,0.421875,17073.5498046875,14.516430909046903
heppo,1,17,4352,-13155.389610692964,1323.124458210019,0.0,-16.11144466262845,0.05530981416814029,3924777.0625,0.7190581560134888,0.0007684072943922778,0.23710303008556366,0.42236328125,17884.48388671875,14.387294854968786
heppo,1,18,4608,-13173.65951737368,1321.8330672626632,0.0,-16.09248799285285,0.022800272330641747,21380873.0,0.7190513610839844,0.0007837754402801235,0.05192121366667379,0.28515625,46853.076171875,11.467281373916194
